,high_formula,high_mpid,low_formula,low_mpid,average_voltage,battery_id,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume
132,V4OF11,mp-774050,LiV4OF11,mp-779815,2.840082090000001,mp-774050_Li,61.51518972008227,202.09912138017435,174.7081885869578,573.9780950365694,0.0144761908103503
133,V4(OF3)3,mp-777967,Li3V4(OF3)3,mp-779205,2.908635316666666,mp-777967_Li,181.26548527840976,611.9708563301057,527.2351921735043,1780.0000454924875,0.0256908369366815
134,V4(OF3)3,mp-774383,Li3V4(OF3)3,mp-779400,2.9230958150000013,mp-774383_Li,181.26548527840976,611.496833623511,529.8563814212639,1787.463835250637,0.0211274288795932
135,V4(OF3)3,mp-765695,Li3V4(OF3)3,mp-777658,2.9248022400000004,mp-765695_Li,181.26548527840976,610.2915579099084,530.16569737698,1784.9821156279902,0.0215591822794063
136,V4(OF3)3,mp-779309,Li3V4(OF3)3,mp-850453,2.9504628366666688,mp-779309_Li,181.26548527840976,611.3821489389077,534.8170778842971,1803.8603094456528,0.0171076787115831
137,Sn4(PO4)3,mp-540395,LiSn4(PO4)3,mp-673101,3.793601770000014,mp-540395_Li,34.95715812667888,153.89454770191813,132.61353694353937,583.8146285553482,0.0177195125289317
138,Li7BiO6,mp-38487,Li8BiO6,mp-754586,1.8479440099999969,mp-38487_Li,74.34431207642632,298.8123345028313,137.38412617920244,552.1884636586225,0.0593523571532057
139,Li3Fe2(PO4)3,mp-773942,Li7Fe4(PO4)6,mp-772517,2.9990483950000217,mp-762846_Li,31.838483098652954,95.21846637626174,95.48515163625046,285.56478876009135,0.005650416298691
140,LiFe2(PO4)3,mp-1101524,Li2Fe2(PO4)3,mp-776769,4.818893692500017,mp-1101524_Li,189.46863989378545,553.853420339207,774.4779682186429,2263.948650899269,0.0255719700177807
141,V4(OF3)3,mp-779370,Li3V4(OF3)3,mp-779062,2.9360948616666653,mp-779062_Li,181.26548527840976,610.4680583727951,532.2126599234534,1792.3921293999897,0.025146600290445
142,V4(OF3)3,mp-1101199,Li3V4(OF3)3,mp-850774,2.7811019116666675,mp-1101199_Li,181.26548527840976,610.0882085651288,504.1177876269716,1696.717483125772,0.0409170973896244
143,V4O5F7,mp-778714,LiV4O5F7,mp-776893,3.359523569999998,mp-776893_Li,63.2568689845468,214.04422208818823,212.5129423179868,719.0866091275826,0.0115356473236918
144,V4O5F7,mp-765764,LiV4O5F7,mp-779059,3.626531285000004,mp-765764_Li,63.2568689845468,212.4887783145808,229.40301436360537,770.5972022692574,0.0114141441148074
145,V4O5F7,mp-1101221,LiV4O5F7,mp-782707,3.322693450000008,mp-1101221_Li,63.2568689845468,214.05849743627508,210.1831842424623,711.2507673483547,0.0140036765593505
146,Li3Fe2(PO5)2,mp-767823,Li2FePO5,mp-761481,4.566994255000003,mp-761481_Li,74.16107720318543,239.52056406199443,338.69321353155954,1093.8890400254886,0.0306540197534728
147,Li2FePO5,mp-767826,Li9Fe4(PO5)4,mp-1176795,2.8606087900000485,mp-1176795_Li,142.83552646893747,406.8335371219462,392.0094302983878,1116.5470317927866,0.0184888884637797
148,Fe3(P2O7)2,mp-540486,Li2Fe3(P2O7)2,mp-31833,3.611220499999992,mp-31833_Li,101.2707222310686,333.36626125297903,365.7109081706399,1203.859076645111,0.0418967234729759
149,Fe2P2O9,mp-1041062,LiFe2P2O9,mp-1013910,5.170296549999994,mp-1013910_Li,82.57455523720336,260.10357982888064,426.9349380606965,1344.8126414319097,0.0368611411696893
